,Unnamed: 0,Ticker,ESG Score,Country
1849,1849,S0223.MC,22.68,Spain
1850,1850,CHTTX,22.28,USA
1851,1851,BIGFX,24.19,USA
1852,1852,PGTRX,19.76,USA
1853,1853,EZTGX,22.5,USA
1854,1854,MEFNX,23.87,USA
1855,1855,GIICX,22.3,USA
1856,1856,RRMGX,24.34,USA
1857,1857,PNOPX,20.61,USA
1858,1858,WPSZX,20.1,USA
1859,1859,JMEEX,23.26,USA
1860,1860,AWSHX,23.2,USA
1861,1861,VWNEX,24.28,USA
1862,1862,OGLNX,20.15,USA
1863,1863,GLVYX,21.17,USA
1864,1864,MCGRX,31.84,USA
1865,1865,PNOYX,20.61,USA
1866,1866,DKIJAP.CO,26.54,Denmark
1867,1867,LTRGX,22.97,USA
1868,1868,GIEYX,21.68,USA
1869,1869,SPSRX,28.13,USA
1870,1870,WILNX,20.36,USA
1871,1871,WEBAX,24.02,USA
1872,1872,WWWFX,19.98,USA
1873,1873,BGLCX,25.42,USA
1874,1874,MCIYX,25.45,USA
1875,1875,HWMAX,26.71,USA
1876,1876,U1IH.SW,21.29,
1877,1877,WEMAX,29.41,USA
1878,1878,TFFYX,21.83,USA
1879,1879,WTMCX,25.25,USA
1880,1880,PCIEX,23.38,USA
1881,1881,TWHIX,22.1,USA
1882,1882,HILGX,22.1,USA
1883,1883,ABIAX,22.79,USA
1884,1884,MPEYX,23.74,USA
1885,1885,VITSX,22.77,USA
1886,1886,NDASX,23.9,USA
1887,1887,RBABX,23.66,USA
1888,1888,RAICX,23.57,USA
1889,1889,GIRAX,15.73,USA
1890,1890,BBVANDQNC.MX,20.13,Mexico
1891,1891,USAWX,23.1,USA
1892,1892,ODVNX,23.3,USA
1893,1893,JRYOX,23.29,USA
1894,1894,PRWAX,22.76,USA
1895,1895,RGWBX,23.49,USA
1896,1896,SCVIX,27.52,USA
1897,1897,FAKDX,24.07,USA
1898,1898,EMRCX,24.7,USA
1899,1899,SIGAX,27.36,USA
1900,1900,DHSYX,29.95,USA
1901,1901,WFEMX,23.59,USA
1902,1902,RPFIX,24.99,USA
1903,1903,NAWCX,22.66,USA
1904,1904,BLARX,24.71,USA
1905,1905,KAUCX,27.61,USA
1906,1906,GLBLX,23.26,USA
1907,1907,BFGBX,20.19,USA
1908,1908,S0841.MC,28.12,Spain
1909,1909,PHRIX,16.08,USA
1910,1910,PARJX,23.82,USA
1911,1911,FDFFX,20.06,USA
1912,1912,GTMEX,24.0,USA
1913,1913,MLPDX,40.05,USA
1914,1914,FESOX,23.5,USA
1915,1915,JLKZX,23.23,USA
1916,1916,SOPAX,22.01,USA
1917,1917,PJEZX,16.94,USA
1918,1918,WBLNX,22.99,USA
1919,1919,OPMIX,22.77,USA
1920,1920,CDDYX,22.27,USA
1921,1921,JNVMX,23.87,USA
1922,1922,RMFEX,22.63,USA
1923,1923,THDRX,24.77,USA
1924,1924,GITIX,18.83,USA
1925,1925,CNPFX,23.09,USA
1926,1926,PXQSX,28.63,USA
1927,1927,FZAGX,24.42,USA
1928,1928,ESEE.SG,22.05,Germany
1929,1929,DPUYX,19.8,USA
1930,1930,FROTX,24.41,USA
1931,1931,LAFFX,22.16,USA
1932,1932,JRSCX,23.53,USA
1933,1933,LMIYX,29.87,USA
1934,1934,VSNGX,23.26,USA
1935,1935,SMVMX,21.61,
1936,1936,EICVX,24.18,USA
1937,1937,SMECX,26.09,USA
1938,1938,AGRCX,21.6,USA
1939,1939,SHAPX,20.9,USA
1940,1940,ASEIX,28.88,USA
1941,1941,GCMAX,24.93,Sweden
1942,1942,LVOAX,25.7,USA
1943,1943,DFGEX,15.28,USA
1944,1944,EQIDX,25.74,USA
1945,1945,ISNMX,23.17,USA
