,Company name,Target value,Sector
530,EGISS,0.38,Technology Hardware and Equipment
531,EILEEN FISHER,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
532,"EISHIRO KAWARA CO., LTD.",0.46,Building Products
533,EIZO Corporation,0.7,Technology Hardware and Equipment
534,ELECTRO DEPOT,1.0,Retailing
535,ENAV Group,0.7,Air Transportation - Airport Services
536,"ENECLOUD, Inc.",0.42,Specialized Consumer Services
537,ENEIDA.IO,0.25,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
538,ENGIE,0.52,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
539,EQT AB,1.0,"Banks, Diverse Financials, Insurance"
540,EQUIPOS MÓVILES DE CAMPAÑA ARPA,0.5,Technology Hardware and Equipment
541,ERAMET,0.67,"Mining - Iron, Aluminum, Other Metals"
542,ERG spa,0.96,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
543,ERM,0.8,Professional Services
544,"ES Co., Ltd",0.42,Professional Services
545,ESG Book GmbH,0.5,Professional Services
546,ESKA BV,0.5,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
547,ETAP Lighting International,0.5,Electrical Equipment and Machinery
548,EV Logistik GmbH,0.42,Ground Transportation - Trucking Transportation
549,EV Private Equity,1.0,"Banks, Diverse Financials, Insurance"
550,EVN AG,0.66,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
551,EWE AG,0.768,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
552,EY,1.0,Professional Services
553,Earth Matters APS / Living Flowers,0.42,Retailing
554,Eaton,0.5,Electrical Equipment and Machinery
555,Echosens SA,0.46,"Healthcare Providers and Services, and Healthcare Technology"
556,Eckes-Granini Group GmbH,0.95,Food and Beverage Processing
557,"Eco Plan Co., Ltd.",0.5,Construction and Engineering
558,"Eco Style Co., Ltd.",0.42,Construction and Engineering
559,Ecolab,0.7,Chemicals
560,Ecolean,0.5,Containers and Packaging
561,Eddie Stobart,0.504,Ground Transportation - Trucking Transportation
562,Edelman,0.8,Professional Services
563,Eden McCallum LLP,0.46,Professional Services
564,Edgard & Cooper,0.5,"Consumer Durables, Household and Personal Products"
565,Edge Chile,0.47,Professional Services
566,Edge Environment Pty Ltd,1.0,Professional Services
567,Einar Mattsson AB,0.42,Real Estate
568,EirGrid Group,0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
569,"Eisai Co., Ltd.",0.3,"Pharmaceuticals, Biotechnology and Life"
570,Eland Cables Limited,0.38,Electrical Equipment and Machinery
571,Electrolux,0.8,"Consumer Durables, Household and Personal Products"
572,Elektro-Isola A/S,0.5,Construction Materials
573,Elements,0.46,Retailing
574,"Elevate Textiles, Inc.",0.462,"Textiles, Apparel, Footwear and Luxury Goods"
575,Elia Group,0.28,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
576,Elisa Corporation,0.5,Telecommunication Services
577,Ella's Kitchen (Brands) Limited,1.0,Food and Staples Retailing
578,Elopak AS,0.9,Containers and Packaging
579,Emblem Solutions LLC,0.38,Professional Services
580,Emerson Electric Co.,0.9,Electrical Equipment and Machinery
581,Emira Property Fund Ltd,0.46,Real Estate
582,Emmi Group,0.45,Food and Beverage Processing
583,Emperor Design Consultants Limited,0.46,Professional Services
584,Encon NV,0.5,Professional Services
585,Enel SpA,0.8,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
586,EnerKey Oy,0.5,Software and Services
587,Energetics Pty Ltd,0.5,Professional Services
588,Energise Ltd,0.46,Professional Services
589,"Energy Solution Japan Co., Ltd.",0.42,Professional Services
590,Epiroc AB,0.5,Electrical Equipment and Machinery
591,"Equinix, Inc.",1.0,Real Estate
592,Erevista Inc,0.28,Software and Services
593,Ergonomic Solutions Manufacturing A/S,0.5,Electrical Equipment and Machinery
594,Ericsson Group,0.35,Technology Hardware and Equipment
595,Essinge Rail AB,0.5,Ground Transportation - Railroads Transportation
596,Essity AB,0.35,"Consumer Durables, Household and Personal Products"
597,Etivoet,0.5,"Trading Companies and Distributors, and Commercial Services and Supplies"
598,Eton Group AB,0.46,"Textiles, Apparel, Footwear and Luxury Goods"
599,"Etsy, Inc.",0.52,Retailing
600,Eunomia Research & Consulting Ltd,0.5,Professional Services
601,Eurazeo,1.0,"Banks, Diverse Financials, Insurance"
