,Company name,Target value,Sector
858,Iberostar Hotels and Resorts,0.85,"Hotels, Restaurants and Leisure, and Tourism Services"
859,Icade,0.55,Real Estate
860,Identity Holdings Ltd.,0.5,Professional Services
861,Ignition DG Ltd,0.46,Professional Services
862,Ignitis Group,0.94,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
863,"Illumina, Inc.",1.0,"Pharmaceuticals, Biotechnology and Life"
864,Imerys SA,0.71,Construction Materials
865,Imperial Brands,0.5,Tobacco
866,Inditex,0.9,Retailing
867,Indo Count,0.33,"Textiles, Apparel, Footwear and Luxury Goods"
868,Indra,0.5,Software and Services
869,Informa plc,0.55,Professional Services
870,Informed Solutions Ltd,0.42,Professional Services
871,Infosys Limited,0.375,Software and Services
872,Infraconcepts Netherlands B.V.,0.46,"Trading Companies and Distributors, and Commercial Services and Supplies"
873,Ingka Group,0.8,Retailing
874,Ingredion Incorporated,0.28,Food Production - Agricultural Production
875,Inmarsat Global Limited,0.64,Telecommunication Services
876,"Inmobiliaria Colonial, SOCIMI, S.A.",0.5,Real Estate
877,Instone Real Estate Group SE,0.42,Real Estate
878,InterContinental Hotels Group PLC,0.462,"Hotels, Restaurants and Leisure, and Tourism Services"
879,Interface,0.5,Building Products
880,Intermediate Capital Group,1.0,"Banks, Diverse Financials, Insurance"
881,International Conflict and Security Consulting Ltd.,0.42,Professional Services
882,International Flavors & Fragrances Inc.,0.7,Chemicals
883,International Paper Company,0.357,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
884,International Post Corporation (IPC),0.2,Air Freight Transportation and Logistics
885,Internet Fusion Ltd,0.5,Retailing
886,Intrepid Travel,0.71,"Hotels, Restaurants and Leisure, and Tourism Services"
887,Intuit,1.0,Software and Services
888,Investa Office Management Pty Limited,0.6,Real Estate
889,Investindustrial,1.0,"Banks, Diverse Financials, Insurance"
890,Ipsen SA,0.5,"Pharmaceuticals, Biotechnology and Life"
891,Iren Group,1.0,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
892,Irie System Incorporation,0.42,Software and Services
893,Iron Mountain,0.2,Software and Services
894,J McCann & Co Limited,0.42,Construction and Engineering
895,J Sainsbury plc,0.5,Food and Staples Retailing
896,"J. FRONT RETAILING Co., Ltd.",0.6,Retailing
897,JAB Holding Company,0.95,"Banks, Diverse Financials, Insurance"
898,JAI Overfladebehandling,0.46,Construction Materials
899,JAPAN.DELIVERY.SYSTEM,0.3,Building Products
900,"JB Financial Group Co., Ltd.",0.76,"Banks, Diverse Financials, Insurance"
901,JD Logistics,1.0,Air Freight Transportation and Logistics
902,JD Sports Fashion PLC,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
903,JDE Peet’s N.V.,0.25,Food and Beverage Processing
904,"JENEX CO., LTD.",0.9,Construction and Engineering
905,JLL,0.51,Real Estate
906,JT Group Limited,0.25,Telecommunication Services
907,Jacobs,0.65,Professional Services
908,Jaguar Land Rover Automotive plc,0.6,Automobiles and Components
909,Jamestown,0.3,Real Estate
910,"Japan Carbon Management Co., Ltd.",0.5,Professional Services
911,Japan Real Estate Investment Corporation,0.46,Real Estate
912,Japan Tobacco Inc.,0.32,Tobacco
913,JetBlue Airways Corporation,0.5,Air Transportation - Airlines
914,"Jiangsu Bono Casting Co., Ltd.",0.5,"Mining - Iron, Aluminum, Other Metals"
915,"Jiangyin Boway Machinery Complete Equipment Co., Ltd",0.38,Electrical Equipment and Machinery
916,Jigsaw Systems Ltd,0.42,Technology Hardware and Equipment
917,"Jinan Faithcast Machinery Co.,Ltd.",0.42,"Mining - Iron, Aluminum, Other Metals"
918,Johannes Pedersen a/s,0.46,Automobiles and Components
919,John Mattson Fastighetsföretagen AB,0.38,Real Estate
920,Johnson & Johnson,0.6,"Pharmaceuticals, Biotechnology and Life"
921,Johnson Controls International plc,0.55,Technology Hardware and Equipment
922,Johnson Matthey Plc,0.33,Chemicals
923,"José Combalia, S.A.",0.3,"Consumer Durables, Household and Personal Products"
924,Julie Sandlau Vietnam. ltd,0.42,"Textiles, Apparel, Footwear and Luxury Goods"
925,Juustoportti Group,0.38,Food and Beverage Processing
926,Jysk Display A/S,0.5,Building Products
927,K2A Knaust & Andersson,0.5,Real Estate
928,"KAIHO INDUSTRY CO., LTD.,",0.42,Solid Waste Management Utilities
929,"KANUC CO.,LTD",0.25,Specialized Consumer Services
930,KAO Corporation,0.55,"Consumer Durables, Household and Personal Products"
931,"KATAGIRI MEIMOKU KOGYO CO.,LTD",0.3,Homebuilding
932,KAYSERİ ULAŞIM A.Ş.,1.0,Ground Transportation - Railroads Transportation
933,KB Financial Group,0.584,"Banks, Diverse Financials, Insurance"
934,KDC CORPORATION,0.42,Software and Services
935,KDDI Corporation,0.5,Telecommunication Services
936,KINGS INTERNATIONAL LTD,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
937,KIRKBI A/S,0.55,"Banks, Diverse Financials, Insurance"
938,KISO A/S,0.5,Chemicals
939,KO2 Consulting LLC,0.46,Professional Services
940,"KOBAYASHI PHARMACEUTICAL CO., LTD.",0.51,"Consumer Durables, Household and Personal Products"
941,"KOKUBO-HD CO., LTD.",0.42,Automobiles and Components
942,KONE Corporation,1.0,Electrical Equipment and Machinery
943,KOSÉ Corporation,0.35,"Consumer Durables, Household and Personal Products"
944,KOYOSHA INC.,0.42,Media
945,KPMG International Limited,1.0,Professional Services
946,KPMG Ireland,0.8,Professional Services
947,KPMG UK LLP,1.0,Professional Services
948,KYOAI Corporation,0.5,Containers and Packaging
949,KYOCERA Corporation,0.462,Semiconductors and Semiconductors Equipment
950,"KYOHATSU INDUSTRY Co., Ltd.",0.5,Automobiles and Components
951,"KYOTECH Co., Ltd.",0.42,Building Products
952,Kabbara LLC.,0.38,Professional Services
953,"Kagome Co., Ltd.",0.42,Food and Beverage Processing
954,Kainos Group plc,0.7,Software and Services
955,"Kajikei Iron Works Co.,Ltd.",0.46,Ground Transportation - Railroads Transportation
956,"Kankyo Shuzo Co., LTD.",0.5,Food and Beverage Processing
957,Kansas City Southern,0.42,Ground Transportation - Railroads Transportation
958,Kartikeya International,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
959,Kasugai material transportation ltd.,0.42,Ground Transportation - Trucking Transportation
960,Kaufman & Broad,0.28,Real Estate
961,"Kawada Feather Co.,Ltd.",0.5,"Textiles, Apparel, Footwear and Luxury Goods"
962,"Kawamura Sangyo Co.,Ltd.",0.42,Technology Hardware and Equipment
963,"Kawasaki Kisen Kaisha, Ltd.",0.25,Water Transportation - Water Transportation
964,"Kawase Plastic Industry Co.,Ltd.",0.46,Chemicals
965,Kayahan Makine Hidrolik A.Ş.,0.5,Electrical Equipment and Machinery
966,"Kayama Kogyo Co.,Ltd.",0.5,Professional Services
967,Kearney,1.0,Professional Services
968,Kellogg Company,0.47,Food and Beverage Processing
969,Kennedys Law LLP,0.7,Professional Services
970,Keppel Land,1.0,Real Estate
971,Kering,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
972,Kerry Group PLC,0.55,Food and Beverage Processing
973,Kerschgens Werkstoffe & Mehr GmbH,0.25,"Trading Companies and Distributors, and Commercial Services and Supplies"
974,Kesko Corporation,0.9,Food and Staples Retailing
975,Keurig Dr Pepper,0.5,Food and Beverage Processing
976,Kilroy Realty Corporation,0.31,Real Estate
977,Kimberly-Clark Corporation,0.5,"Consumer Durables, Household and Personal Products"
978,Kimco Realty Corporation,0.3,Real Estate
979,Kindred Group plc,0.9,"Hotels, Restaurants and Leisure, and Tourism Services"
980,Kingfisher,0.4,Retailing
981,Kingspan Group Plc,0.9,Building Products
982,Kirin Holdings Co Ltd,0.5,Food and Beverage Processing
983,"Kisyou Co., Ltd.",0.42,Electrical Equipment and Machinery
984,Klabin S.A.,0.49,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
985,Klockner Pentaplast,0.5,Containers and Packaging
986,Klépierre,0.8,Real Estate
987,Klöckner & Co,0.5,"Mining - Iron, Aluminum, Other Metals"
988,Knights Brown,0.42,Construction and Engineering
989,Knowit AB (publ),0.5,Software and Services
990,"Koei Shoji Co., Ltd.",0.42,Solid Waste Management Utilities
991,"Kokufu Printing Co., Ltd.",0.5,"Consumer Durables, Household and Personal Products"
992,"Kokusai Kogyo Co., Ltd",0.65,Professional Services
993,Kollergang nv,0.38,Food and Beverage Processing
994,Komatsu Ltd.,0.3,Electrical Equipment and Machinery
995,Konecranes Oyj,0.5,Electrical Equipment and Machinery
996,"Konica Minolta, Inc.",0.6,Technology Hardware and Equipment
997,Koninklijke Ahold Delhaize N.V.,0.5,Food and Staples Retailing
998,Koninklijke KPN NV (Royal KPN),1.0,Telecommunication Services
999,Koskela Pty Limited,0.42,"Consumer Durables, Household and Personal Products"
1000,"Kowa Seisakusyo Co.,Ltd.",0.42,Building Products
1001,Krones AG,0.8,Electrical Equipment and Machinery
1002,Krummen Kerzers AG,0.46,Ground Transportation - Trucking Transportation
1003,Kuehne + Nagel International AG,0.33,Air Freight Transportation and Logistics
1004,"Kumagai Gumi Co., Ltd.",0.25,Construction and Engineering
1005,Kungsleden AB,0.5,Real Estate
1006,"Kunshan JC Industrial Technology Co., Ltd.",0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
1007,Kyodo Denshi Kogyo Inc.,0.3,Electrical Equipment and Machinery
1008,L'OCCITANE INTERNATIONAL SA,1.0,"Consumer Durables, Household and Personal Products"
1009,L'Oréal,1.0,"Consumer Durables, Household and Personal Products"
1010,L. Priebs GmbH & Co. KG,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1011,L.E. Vegetables Company Aktiebolag,0.5,Food and Beverage Processing
1012,LANXESS AG,0.416,Chemicals
1013,LCL NV,0.42,Software and Services
1014,LEO Pharma A/S,0.75,"Pharmaceuticals, Biotechnology and Life"
1015,LG Electronics Inc.,0.546,"Consumer Durables, Household and Personal Products"
1016,LITE-ON technology corp.,0.39,Technology Hardware and Equipment
1017,LIXIL Corporation,0.3,Building Products
1018,LOM Architecture,0.5,Professional Services
1019,"LOTTE CO., LTD.",0.8,Food and Beverage Processing
1020,LSTH Svenska Handelsfastigheter AB,0.42,Real Estate
1021,LVMH,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
1022,"LYMI, Inc. DBA Reformation",1.0,"Textiles, Apparel, Footwear and Luxury Goods"
1023,La Banque Postale,1.0,"Banks, Diverse Financials, Insurance"
1024,La Coop Conseil,0.42,Software and Services
1025,La Française des jeux (FDJ),1.0,"Hotels, Restaurants and Leisure, and Tourism Services"
1026,La Poste SA,0.51,Air Freight Transportation and Logistics
1027,Labeyrie Fine Foods,1.0,Food and Beverage Processing
1028,Lactoprot Deutschland GmbH,0.23,Food and Beverage Processing
1029,Lam Research Corporation,1.0,Semiconductors and Semiconductors Equipment
1030,Lamington Group,0.46,"Hotels, Restaurants and Leisure, and Tourism Services"
1031,Landsec,0.7,Real Estate
1032,Lansinoh Laboratories Inc,0.69,Healthcare Equipment and Supplies
1033,Lars Partners,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1034,Las Vegas Sands Corp,0.175,"Hotels, Restaurants and Leisure, and Tourism Services"
1035,Lassila & Tikanoja plc,0.7,Professional Services
1036,Le Bélier,0.6,Automobiles and Components
1037,Leap Media LTD,0.46,Professional Services
1038,Legacy Vacation Resorts,0.5,"Hotels, Restaurants and Leisure, and Tourism Services"
1039,Legrand,0.5,Electrical Equipment and Machinery
1040,Lennox International Inc.,0.375,Building Products
1041,Lenovo Group Limited,0.5,Technology Hardware and Equipment
1042,Lenzing AG,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1043,Lerøy Seafood Group ASA,0.46,Food Production - Animal Source Food Production
1044,Leverage Limited,0.42,Professional Services
1045,Levi Strauss & Co.,0.9,"Textiles, Apparel, Footwear and Luxury Goods"
1046,Liberty Global,0.5,Telecommunication Services
1047,Lidl Belgium GmbH. & Co. KG,0.36,Retailing
1048,Lifestraw,0.5,"Consumer Durables, Household and Personal Products"
1049,Lime (Neutron Holdings dba Lime),0.82,Ground Transportation - Trucking Transportation
1050,Linde plc,0.35,Chemicals
1051,Linklaters LLP,0.7,Professional Services
1052,Lintex AB,0.46,"Consumer Durables, Household and Personal Products"
1053,Lion Corporation,0.3,"Consumer Durables, Household and Personal Products"
1054,Living Tomorrow NV,0.5,Education Services
1055,Lloyd’s Register,0.63,Professional Services
1056,Logicor Europe PLC,0.42,Real Estate
1057,Logista,0.3,Air Freight Transportation and Logistics
1058,Lojas Renner S.A.,0.75,"Textiles, Apparel, Footwear and Luxury Goods"
1059,London Stock Exchange Group PLC,0.67,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms"
1060,Lonsdale,0.38,Professional Services
1061,Los Angeles Department of Water and Power,0.781,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1062,Louis Vuitton Malletier,0.55,"Textiles, Apparel, Footwear and Luxury Goods"
1063,Lufthansa Group,0.306,Air Transportation - Airlines
1064,"Lumen Technologies, Inc.",0.18,Telecommunication Services
1065,Lundbeck A/S,0.63,"Pharmaceuticals, Biotechnology and Life"
1066,Lyons & Annoot Limited,0.5,Construction and Engineering
1067,M&C Saatchi PLC.,0.5,Media
1068,M1 Limited,0.462,Telecommunication Services
1069,"MAAL Associates, LLC",0.5,Professional Services
1070,MAKROCHEM S.A.,0.42,Chemicals
1071,MAN Truck & Bus SE,0.7,Electrical Equipment and Machinery
1072,MANE,0.69,"Consumer Durables, Household and Personal Products"
1073,"MARTO Co.,Ltd.",0.46,"Trading Companies and Distributors, and Commercial Services and Supplies"
1074,"MARUI GROUP CO.,LTD.",0.8,Retailing
1075,MARUICHI SELLING INC.,0.42,"Consumer Durables, Household and Personal Products"
1076,"MARUKI SANGYO Co.,LTD.",0.28,Chemicals
1077,"MARUTOU CO., LTD.",0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
1078,MAS Capital Ptv Ltd.,0.85,"Textiles, Apparel, Footwear and Luxury Goods"
1079,MATSEN CHEMIE AG,0.5,Chemicals
1080,MDT technologies GmbH,0.42,Electrical Equipment and Machinery
1081,MEANINGS CAPITAL PARTNERS,1.0,"Banks, Diverse Financials, Insurance"
1082,MEIDENSHA CORPORATION,0.3,Electrical Equipment and Machinery
1083,MERCIALYS,0.47,Real Estate
1084,"MERLIN Properties SOCIMI, SA",0.5,Real Estate
1085,MFP INDUSTRY SAS DI LUDMILA LUNGU & C.,0.46,"Textiles, Apparel, Footwear and Luxury Goods"
1086,"MIC Co., Ltd",0.5,Media
1087,"MICROGREAT CASTING CO., LTD.",0.42,Electrical Equipment and Machinery
1088,"MIKUNI KIKO CO., LTD",0.5,"Trading Companies and Distributors, and Commercial Services and Supplies"
1089,MIROW & CO. DO BRASIL CONSULTORIA LTDA,0.46,Professional Services
1090,MITAKA KANKYO SERVICE CO.,0.25,"Trading Companies and Distributors, and Commercial Services and Supplies"
1091,MITCON Consultancy & Engineering Services Limited,0.46,Professional Services
1092,"MITSUBISHI ESTATE CO., LTD.",0.7,Real Estate
1093,"MITSUBOSHI KEITO Co.,Ltd.",0.42,"Textiles, Apparel, Footwear and Luxury Goods"
1094,"MITSUI FUDOSAN CO., LTD.",0.462,Real Estate
1095,"MIWATECH CO., LTD.",0.5,Automobiles and Components
1096,"MIYAGI EISEI KANKYO KOSHA, INC.",0.3,Solid Waste Management Utilities
1097,"MIZSEI MFG CO., LTD.",0.42,"Consumer Durables, Household and Personal Products"
1098,"MIZUTANI VALVE M.F.G.Co.,Ltd",0.42,"Consumer Durables, Household and Personal Products"
1099,MKS PAMP SA,1.0,"Trading Companies and Distributors, and Commercial Services and Supplies"
1100,MSCI Inc.,0.8,Professional Services
1101,MSQ Partners Group Limited,1.0,Software and Services
1102,MTR Nordic Group,0.252,Ground Transportation - Railroads Transportation
1103,MULTIVISTA GLOBAL PVT LTD - PRINT HOUSE,0.28,"Trading Companies and Distributors, and Commercial Services and Supplies"
1104,MURONAKA INDUSTRIES CO.LTD,0.5,Electrical Equipment and Machinery
1105,MVV Energie AG,0.83,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1106,MaCher (USA) Inc.,0.5,"Consumer Durables, Household and Personal Products"
1107,MacArthur Green,0.5,Professional Services
1108,"Machi Mirai Seisakusyo Co., Ltd.",0.5,Professional Services
1109,Maeda Corporation,0.3,Construction and Engineering
1110,Magazine de Bijenkorf B.V.,1.0,Retailing
1111,Magnolia Bostad AB,0.38,Real Estate
1112,Magyar Telekom Plc.,0.84,Telecommunication Services
1113,Mahindra & Mahindra Limited,0.47,Automobiles and Components
1114,Mahindra Accelo,0.75,"Mining - Iron, Aluminum, Other Metals"
1115,Mahindra Automotive Australia Pty Ltd,0.96,Automobiles and Components
1116,Mahindra Automotive North America,0.884,Automobiles and Components
1117,Mahindra EPC Irrigation Limited,0.82,Food Production - Agricultural Production
1118,Mahindra Electric Mobility Limited,0.35,Automobiles and Components
1119,Mahindra First Choice Services Ltd.,0.47,Automobiles and Components
1120,Mahindra Heavy Engines Ltd,0.73,Automobiles and Components
1121,Mahindra Holidays and Resorts India Limited,0.88,"Hotels, Restaurants and Leisure, and Tourism Services"
1122,Mahindra Lifespaces Developers Limited,0.63,Real Estate
1123,Mahindra Logistics Ltd.,0.88,Air Freight Transportation and Logistics
1124,Mahindra Sanyo Special Steel,0.35,"Mining - Iron, Aluminum, Other Metals"
1125,"Mahindra USA, Inc.",0.89,Automobiles and Components
1126,Mahindra World City (Jaipur) Ltd.,0.63,Real Estate
1127,Mahindra World City Developers Ltd,0.63,Real Estate
1128,Maisons du Monde,0.5,Retailing
1129,Majid Al Futtaim Properties,0.878,Real Estate
1130,Malmö Lastbilcentral AB,0.5,Ground Transportation - Trucking Transportation
1131,Mammut Sports Group,0.8,"Textiles, Apparel, Footwear and Luxury Goods"
1132,"Mango Punto Fa, SL",0.8,Retailing
1133,Manitou Group,0.462,Electrical Equipment and Machinery
1134,Manni Group SpA,0.92,Building Products
1135,ManpowerGroup Inc.,0.6,Professional Services
1136,Mantis World Ltd,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1137,Maple Leaf Foods Inc.,0.3,Food and Beverage Processing
1138,Marel,0.42,Software and Services
1139,Marfrig Global Foods S.A.,1.0,Food and Beverage Processing
1140,Marks & Spencer,0.55,Retailing
1141,Mars,0.42,Food and Beverage Processing
1142,Marshalls plc,0.73,Construction Materials
1143,"Maruyou Kensetu Co., Ltd.",0.42,Construction and Engineering
1144,Mastercard,0.38,Software and Services
1145,Masterpiece Valuation Advisory Limited,0.38,Professional Services
1146,"Masudaki Co.,Ltd.",0.42,Solid Waste Management Utilities
1147,"Matsuoka Special Steel Co., Ltd.",0.46,"Trading Companies and Distributors, and Commercial Services and Supplies"
1148,Max Fordham LLP,0.46,Construction and Engineering
1149,May You Corporation,0.46,Solid Waste Management Utilities
1150,Mayr-Melnhof Karton AG,0.581,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1151,McAleer & Rushe Contracts UK Ltd,0.5,Construction and Engineering
1152,McCain Foods Limited,1.0,Food and Beverage Processing
1153,"McCormick & Company, Incorporated",0.42,Food and Beverage Processing
1154,McDonald's Corporation,0.36,"Hotels, Restaurants and Leisure, and Tourism Services"
1155,"McKinsey & Company, Inc.",0.3,Professional Services
1156,"Meiji Holdings Co., Ltd.",0.42,Food and Beverage Processing
1157,"Meikou Co.,Ltd.",0.42,Solid Waste Management Utilities
1158,Meira Oy,0.9,Food and Beverage Processing
1159,Melia Hotels International SA,0.714,"Hotels, Restaurants and Leisure, and Tourism Services"
1160,Melita Limited,0.42,Telecommunication Services
1161,Mercedes-Benz AG,0.5,Automobiles and Components
1162,Mercer International,0.35,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1163,"Merck & Co., Inc., Rahway, NJ USA, which is known as MSD outside the U.S. and Canada",0.46,"Pharmaceuticals, Biotechnology and Life"
1164,Merck KGaA,0.52,"Pharmaceuticals, Biotechnology and Life"
1165,Meridian Energy,0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1166,Metro AG,0.6,Food and Staples Retailing
1167,Metso Outotec,0.5,Electrical Equipment and Machinery
1168,Metsä Board Corporation,1.0,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1169,Mettler-Toledo International Inc.,0.7,Technology Hardware and Equipment
1170,Metz A/S,0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
1171,Michelin,0.7,Tires
1172,Microsoft Corporation,1.0,Software and Services
1173,Midsona AB,0.38,Food and Beverage Processing
1174,"Mie EneWood, LTD.",0.42,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1175,Miele & Cie. KG,0.5,"Consumer Durables, Household and Personal Products"
1176,Migros Group,0.7,Retailing
1177,Mile Hi Bakery Inc.,0.47,Food and Staples Retailing
1178,Mile Hi Foods Co.,0.37,Ground Transportation - Trucking Transportation
1179,MiljöMatematik Malmö AB,0.5,Professional Services
1180,Millennium & Copthorne Hotels plc.,0.27,"Hotels, Restaurants and Leisure, and Tourism Services"
1181,Millicom International Cellular S.A.,0.5,Telecommunication Services
1182,Milliken & Company,0.504,"Textiles, Apparel, Footwear and Luxury Goods"
1183,Mills AS,1.0,Food and Beverage Processing
1184,Mips AB,0.42,"Consumer Durables, Household and Personal Products"
1185,Mishcon de Reya LLP,0.42,Professional Services
1186,Mistral Home,0.42,"Textiles, Apparel, Footwear and Luxury Goods"
1187,Mitsubishi Electric Corporation,0.18,Electrical Equipment and Machinery
1188,"Miyakoda Construction Co., Ltd",0.5,Homebuilding
1189,Model HOLDING AG,0.332,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1190,Molson Coors Brewing Company,0.5,Food and Beverage Processing
1191,Moncler Group,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
1192,Mondelez International Inc,0.1,Food and Beverage Processing
1193,Mondi plc,0.86,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1194,Monstercat Inc.,0.42,Media
1195,Montagu,1.0,"Banks, Diverse Financials, Insurance"
1196,Montea NV,0.5,Real Estate
1197,Moody's Corporation,0.6,Professional Services
1198,Moonpig Group plc,0.5,Retailing
1199,Morgan Sindall Group plc,0.7,Construction and Engineering
1200,Morrisons,0.46,Food and Staples Retailing
1201,Mott MacDonald Group Limited,0.25,Professional Services
1202,Mowi,0.35,Food Production - Animal Source Food Production
1203,Moy Park Limited,0.28,Food Production - Animal Source Food Production
1204,Moët Hennessy,1.0,Food and Beverage Processing
1205,Multeral AB,0.38,"Trading Companies and Distributors, and Commercial Services and Supplies"
1206,Multimek Oy,0.38,Construction and Engineering
1207,Multiplex Construction Canada,0.63,Construction and Engineering
1208,Multiplex Construction Europe,0.95,Construction and Engineering
1209,"Multiplex Constructions, Middle East",0.63,Construction and Engineering
1210,Muntons,0.45,Food and Beverage Processing
1211,"Murakami Lumber Co., Ltd.",0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
1212,"Murata Manufacturing Co., Ltd.",0.46,Technology Hardware and Equipment
1213,Murray Birrell Limited,0.46,Construction and Engineering
1214,N. V. Eneco,1.0,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1215,NA-KD,0.42,"Textiles, Apparel, Footwear and Luxury Goods"
1216,"NAKANIHON CASTING Co.,LTD.",0.5,Automobiles and Components
1217,"NAKAYAMASEIKO　CO.,LTD",0.42,Electrical Equipment and Machinery
1218,NATS Holdings Limited,0.5,Air Transportation - Airport Services
1219,NEC Corporation,0.55,Technology Hardware and Equipment
1220,"NEMO Equipment, Inc.",0.42,"Consumer Durables, Household and Personal Products"
1221,NEXANS,0.462,Electrical Equipment and Machinery
1222,NG Bailey Group Ltd,0.75,Construction and Engineering
1223,"NGK SPARK PLUG CO., LTD.",0.3,Automobiles and Components
1224,NGW Energia SpA SB,0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1225,NH Hotel Group,0.2051,"Hotels, Restaurants and Leisure, and Tourism Services"
1226,"NIHON CHUOU JUHAN Co., Ltd.",0.38,Construction and Engineering
1227,"NIKE, Inc.",0.65,"Textiles, Apparel, Footwear and Luxury Goods"
1228,NIPPON ALUTEC CORPORATION,0.25,Building Products
1229,"NIPPON ENGINE Co., Ltd.",0.5,Automobiles and Components
1230,NITTON93 NORGE AS,0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
1231,"NOS, SPGS, S.A.",0.9,Telecommunication Services
1232,NOZAWA CORPORATION,0.5,Building Products
1233,NRG Energy Inc,0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1234,NSW Land Registry Services,0.42,Professional Services
1235,NTT DATA Corporation,0.6,Software and Services
1236,NTT Docomo Inc.,0.5,Telecommunication Services
1237,NTT Group,0.8,Telecommunication Services
1238,"NUMBER THREE, INC.",0.42,"Consumer Durables, Household and Personal Products"
1239,NV Bekaert SA,0.462,"Mining - Iron, Aluminum, Other Metals"
1240,"NW Commonwealth, LLC (dba Wyld & Wyld CBD)",0.42,Professional Services
1241,Nabtesco Corporation,0.7,Electrical Equipment and Machinery
1242,Nairn's Oatcakes Ltd.,0.5,Food and Beverage Processing
1243,"Nakashimada Engineering Works, Ltd.",0.42,Electrical Equipment and Machinery
1244,Nando's Chicken Land Limited,1.0,"Hotels, Restaurants and Leisure, and Tourism Services"
1245,Nanya Technology Corporation,0.272,Semiconductors and Semiconductors Equipment
1246,"Nasdaq, Inc.",1.0,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms"
1247,NatWest Group plc,1.0,"Banks, Diverse Financials, Insurance"
1248,Nathaniel Lichfield & Partners Ltd,0.46,Professional Services
1249,National Grid Electricity System Operator (ESO),0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1250,National Grid Electricity Transmission plc (NGET),0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1251,National Grid PLC,0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1252,Nativa Srl SB,0.46,Professional Services
1253,Nature's Management,0.5,Food Production - Agricultural Production
1254,"Nature's Way Co., Ltd",0.46,"Consumer Durables, Household and Personal Products"
1255,Navitas Semiconductor Ltd.,0.5,Semiconductors and Semiconductors Equipment
1256,Ndevr Environmental,0.42,Professional Services
1257,Nectar Sleep Ltd,0.46,Retailing
1258,"Nemak, S.A.B. de C.V.",0.28,Automobiles and Components
1259,Nestlé,1.0,Food and Beverage Processing
1260,Netflix,0.7,Media
1261,Network Rail plc,0.75,Ground Transportation - Railroads Transportation
1262,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,0.42,Food and Beverage Processing
1263,New River REIT plc,0.42,Real Estate
1264,New World Development Company Limited,0.462,Real Estate
1265,New York State Metropolitan Transportation Authority,0.5035,Ground Transportation - Highways and Railtracks
1266,New Zealand Post,0.32,Air Freight Transportation and Logistics
1267,Newmont Corporation,0.32,"Mining - Other (Rare Minerals, Precious Metals and Gems)"
1268,News Corp,0.6,Media
1269,Nexi SpA,0.78,Software and Services
1270,Nexity SA,0.28,Real Estate
1271,Next plc,0.55,Retailing
1272,"Nihon Dengyo Kosaku Co., Ltd.",0.3,Technology Hardware and Equipment
1273,"Nikkoh Confectionery Co., Ltd.",0.25,Food and Beverage Processing
1274,Nikon Corporation,0.71,Technology Hardware and Equipment
1275,Nilfisk A/S,0.48,Electrical Equipment and Machinery
1276,"Nippon Sheet Glass, Co., Ltd. (NSG Group).",0.3,Building Products
