,Symbol,Revenuegrowth,ESG rating
175,EXC,12.192203249413172,18.79
176,EXPD,-83.5600224083371,16.2
177,EXPE,9.128436794142845,22.54
178,EXR,24.844272655262543,14.15
179,F,10.292239671719896,22.8
180,FANG,-14.633856395625298,37.31
181,FAST,4.98318973144405,25.04
182,FCX,0.3281557646029315,28.1
183,FDS,5.335679165668053,16.5
184,FDX,-2.807521695004162,19.02
185,FE,3.193473193473193,28.12
186,FFIV,0.10478956862633695,16.3
187,FI,7.102079296077096,17.47
188,FICO,11.875744530213808,20.09
189,FIS,1.0385907748701761,14.36
190,FITB,4.173602853745541,16.87
191,FMC,-29.319336721048412,25.08
193,FOXA,-6.67381974248927,12.22
194,FRT,5.103192675201431,12.44
195,FSLR,21.071613890427354,17.31
196,FTNT,16.728246116724478,15.8
197,FTV,3.950340461312713,27.9
198,GD,6.777535957607873,34.09
199,GDDY,3.8268964058202672,18.99
200,GE,14.502457544809724,32.65
201,GEHC,6.19373977086743,21.46
202,GEN,12.434417628541448,14.78
204,GILD,-0.608496828440773,21.68
205,GIS,-1.1935217452611648,25.84
206,GL,4.05308237692181,20.28
207,GLW,-12.718462027327613,16.74
208,GM,8.791215186042994,27.02
209,GNRC,-13.475388343106701,21.93
211,GOOGL,7.989095428017463,23.89
212,GPC,4.307538865365618,12.83
213,GPN,7.0320544405623995,19.51
214,GRMN,7.0380310665974015,20.99
215,GS,-2.401954425563195,25.22
216,GWW,7.58587207185338,15.99
217,HAL,11.821183421669998,23.84
218,HAS,-17.056742549917058,7.28
219,HBAN,1.440217391304348,16.58
220,HCA,7.288203423223741,27.76
221,HD,-3.100825969908757,12.85
222,HES,-7.734754067167729,31.97
223,HIG,10.176736539251953,16.78
224,HII,6.792386939060591,34.21
225,HLT,14.284318514899855,17.44
226,HOLX,-0.002481204873086371,21.56
227,HON,3.262233375156838,27.12
228,HPE,2.1932383730907845,11.48
229,HPQ,-17.111582709706244,10.59
230,HRL,-2.8802288354840333,26.11
231,HSIC,-2.4961504173758002,14.5
232,HST,7.606853699868197,12.86
233,HSY,6.678894172069268,22.02
234,HUBB,7.910067189041301,17.94
235,HUM,12.694831443773854,18.9
236,HWM,14.713855421686747,23.62
237,IBM,2.150016165535079,13.27
238,ICE,2.696152681005756,18.59
239,IDXX,8.020561859166179,16.32
240,IEX,2.8101041571214758,30.65
241,IFF,-8.371809391061939,23.17
242,INCY,8.145091701078755,23.71
243,INTC,-16.275724717857933,15.34
244,INTU,11.771568928461775,16.82
245,INVH,7.98251680112224,16.01
246,IP,-11.868259674349757,23.43
247,IPG,-0.35355807995004274,8.69
248,IQV,3.8307528029898554,16.07
249,IR,13.958493913701082,10.6
250,IRM,6.873998798238561,14.14
251,ISRG,12.659844752319591,18.03
252,IT,7.298344528044563,19.25
253,ITW,1.086484137331595,22.62
254,IVZ,-5.816597858792247,21.1
255,J,5.647546579014708,23.45
256,JBHT,-15.466763941225278,14.34
257,JBL,-20.14679915521241,9.53
258,JCI,2.705646566747996,16.06
259,JKHY,6.221544786086301,18.66
260,JNJ,6.069822332343029,20.1
261,JNPR,4.731781831251685,12.85
262,JPM,16.980097062316073,27.51
263,K,3.574150281969212,30.33
264,KDP,5.1100310517078436,23.97
265,KEY,-13.049074818986323,22.44
266,KEYS,0.8052708638360175,8.95
267,KHC,0.5818318318318318,31.02
268,KIM,3.1241448917797463,10.39
269,KKR,61.14566424187331,22.02
270,KLAC,-6.968933823210932,16.18
271,KMB,1.2529978953550978,24.45
272,KMI,-25.211947306638844,23.27
273,KMX,-11.866250578458578,11.08
274,KO,6.010403461992394,24.16
275,KR,1.1870247069095368,22.8
276,KVUE,3.1986531986531985,17.02
277,L,10.383977548156654,29.08
278,LDOS,6.749578961005312,17.26
279,LEN,1.642713135483084,26.02
280,LH,2.4478687014866463,19.74
281,LHX,12.137597198619908,20.1
282,LIN,-1.552322396055275,11.63
283,LKQ,7.73114092023655,10.99
284,LLY,16.359991911874598,23.62
285,LMT,2.348640689052996,28.14
286,LNT,-4.420163893717407,17.11
287,LOW,-12.36671799205807,11.88
288,LRCX,-16.927639445231407,12.21
289,LULU,15.684753055270884,14.11
290,LUV,8.727147292169715,28.41
291,LVS,60.37408407250289,20.65
292,LW,17.270703197476653,22.51
293,LYB,-22.730921740822733,19.75
294,LYV,26.672818712217417,17.33
295,MA,11.399314686429198,16.13
296,MAA,5.985753569520235,11.68
297,MAR,12.398262556403662,19.2
298,MAS,-8.949416342412452,22.27
299,MCD,9.065376936262684,25.93
300,MCHP,-10.535209053756681,29.56
301,MCK,10.435311748464967,13.22
303,MDLZ,12.549977787649933,21.06
304,MDT,3.513162773451984,22.16
305,MET,-2.130799463911937,14.88
306,META,13.560214081333116,32.73
307,MGM,18.786916732104288,24.2
308,MHK,-5.405871425665564,13.98
309,MKC,4.6786346852391105,25.85
310,MKTX,4.550812108745368,13.87
311,MLM,9.096677093785043,27.47
312,MMC,8.866995073891626,19.98
313,MMM,-4.73669716348949,40.71
314,MNST,11.610278224438087,32.89
315,MO,-0.9072285630670178,31.32
316,MOH,6.157548720356891,23.14
317,MOS,-39.63975146209505,37.28
318,MPC,-19.5944169997102,30.34
319,MPWR,1.4784698243671859,19.03
320,MRK,1.3840139732179988,19.96
321,MRNA,-179.46402132069886,19.16
322,MRO,-17.683783361947867,39.8
323,MS,0.9019677502121697,24.82
324,MSCI,11.084652737136802,14.4
325,MSFT,13.547131632411617,14.23
326,MSI,8.679094006814992,12.39
327,MTB,14.737178123004895,25.26
328,MTCH,5.221007316383039,16.74
329,MTD,-3.4685660541418346,10.73
330,MU,38.11477041933814,18.6
331,NCLH,43.34733267804486,23.94
332,NDAQ,-2.671503957783641,13.63
333,NDSN,1.4590859428021876,24.15
334,NEE,25.460624599843495,24.88
335,NEM,-0.8719945817812393,21.39
336,NFLX,6.250121392341917,15.49
337,NI,-6.2702074327024375,20.58
338,NKE,0.2823098788987968,18.71
339,NOC,6.841435479765844,26.61
340,NOW,19.23977260060194,15.0
341,NRG,-9.436908024841273,34.19
342,NSC,-4.845343863112865,23.29
343,NTAP,-1.4996809189534142,14.34
344,NTRS,0.18159001993061194,24.92
345,NUE,-19.5859415044308,31.93
346,NVDA,55.723712287843476,12.9
347,NVR,-10.523436612633876,21.0
349,NWSA,2.042637580565196,9.98
350,NXPI,0.5347996384453149,19.17
351,O,18.026802203386964,15.53
352,ODFL,-6.7152197897361,15.93
353,OKE,-26.644792668439216,25.19
354,OMC,2.743632675841603,14.45
355,ON,-0.8869501999272991,21.02
356,ORCL,5.677762882120805,14.53
357,ORLY,8.869009786715996,11.78
358,OTIS,3.6878035048208884,18.77
359,OXY,-29.64575149520473,37.83
360,PANW,14.136406104017441,13.64
361,PARA,-1.6929718062862538,14.09
362,PAYC,18.80267395024072,18.87
363,PAYX,5.1380179224371485,16.67
364,PCAR,17.9566378382687,24.49
365,PCG,11.24938595054855,30.51
366,PEG,12.78811070570437,21.16
367,PEP,5.552579506072963,20.82
368,PFE,-71.5160010940919,19.22
369,PFG,-28.321064262611777,11.39
370,PG,2.4191149347326837,25.06
371,PGR,20.12795917677019,19.83
372,PH,4.337326086627102,26.69
373,PHM,0.36483961912086094,21.13
374,PKG,-8.658874192556135,17.64
375,PLD,25.547266400605523,10.57
376,PLTR,14.343338373006528,22.63
377,PM,9.700346847102974,24.79
378,PNC,1.8364405597656797,23.71
379,PNR,-0.4214886100621269,22.0
380,PNW,7.913260481121025,25.83
381,PODD,23.086441576807495,21.37
382,POOL,-11.515312829609526,10.93
383,PPG,3.255508056560342,22.3
384,PPL,4.9326275264677575,26.91
385,PRU,-4.966368745968857,18.63
386,PSA,7.426959353120733,13.08
387,PSX,-15.326426909273469,33.08
388,PTC,8.76316961877282,18.48
389,PWR,18.23707227100432,36.6
390,PYPL,7.5677672903160795,16.41
391,QCOM,8.064267748062214,12.17
392,QRVO,5.308573590279469,20.21
393,RCL,36.40287769784173,18.68
394,REG,7.443972094556685,11.31
395,REGN,7.1989448967767515,16.62
396,RF,5.413255875363085,14.3
397,RJF,9.26497349473851,26.68
398,RL,2.8319811804445516,13.91
399,RMD,9.86712261784045,24.67
400,ROK,-9.605285448077248,17.46
401,ROL,12.281837178413408,18.6
402,ROP,13.04671565929619,19.36
403,ROST,8.250070508620503,17.03
404,RSG,9.710982658959537,18.52
405,RTX,2.678467788740569,29.62
406,RVTY,-20.404890475468548,15.58
407,SBAC,2.8813416807297876,9.73
408,SBUX,0.5545082125817526,22.26
409,SCHW,-10.219249349684132,23.3
410,SHW,3.9172476021499314,29.38
411,SJM,-4.285522148996784,27.19
412,SLB,15.222574317187265,18.48
414,SNA,5.018815272081518,27.6
415,SNPS,13.02629865134112,13.89
416,SO,-15.942660277986773,28.14
418,SPG,6.492306898450494,12.49
419,SPGI,10.530527326558374,11.45
420,SRE,13.642344497607656,23.22
421,STE,11.723488095532314,23.57
422,STLD,-18.437881012482045,31.46
423,STT,-1.506906655504395,23.56
424,STX,-12.715615936498246,11.55
425,STZ,5.111526029432432,26.39
427,SWK,-7.390486087788557,26.16
428,SWKS,-14.226902824317856,24.11
429,SYF,14.331841197622367,16.46
430,SYK,9.996097180212704,23.59
431,SYY,3.1949165440616913,15.27
432,T,1.3779527559055118,22.07
433,TAP,8.554874766067629,27.98
434,TDG,17.065491183879093,38.2
435,TDY,3.13902936740307,34.28
436,TECH,1.9289769295808672,25.97
437,TEL,-1.1928053013568949,13.3
438,TER,-17.888404056648397,15.34
439,TFC,1.5177426250534416,17.12
440,TFX,6.167378665713674,23.77
441,TGT,-1.5901389044054668,17.08
442,TJX,7.896047365217552,15.49
443,TMO,-4.802016006720022,12.69
444,TMUS,-1.2894931133684666,22.97
445,TPR,0.15439501139225328,13.06
446,TRGP,-30.320106100135114,31.82
447,TRMB,3.2221549477452816,9.55
448,TROW,-0.4318551195727885,16.8
449,TRV,10.82106687936577,20.55
450,TSCO,2.4115845424839586,13.91
451,TSLA,15.82156179926219,24.73
452,TSN,0.8028663077529122,36.82
453,TT,9.536928089785944,14.8
454,TTWO,-0.0056078959174517716,15.87
455,TXN,-14.32159369827045,22.09
456,TXT,5.94898779507418,33.8
457,TYL,5.202866554186471,18.43
458,UAL,16.311409795781596,31.62
459,UBER,14.495319331562994,20.38
460,UDR,6.765894460279902,12.93
461,UHS,6.179859145541205,30.82
462,ULTA,8.91135895942137,13.78
463,UNH,12.352904365050213,16.54
464,UNP,-3.1344583108752433,20.0
465,UPS,-10.312451900877328,18.77
466,URI,18.76918783142618,15.74
467,USB,13.668653839288902,24.21
468,V,9.110393586817347,15.39
469,VICI,27.99818271821501,13.92
470,VLO,-21.840072945304836,30.54
471,VLTO,3.007369049990042,23.93
472,VMC,5.997250028913247,28.44
473,VRSK,6.877004549862012,16.29
474,VRSN,4.567677985399504,20.94
475,VRTX,9.509382726056822,19.56
476,VST,7.111441910819407,29.33
477,VTR,8.195824339175338,11.16
478,VTRS,-5.417809151546973,25.43
479,VZ,-2.1354889754728528,19.32
480,WAB,13.58892218662809,22.7
481,WAT,-0.5256364462917262,12.77
482,WBA,5.808693060992293,15.57
483,WBD,18.16025749618838,18.12
484,WDC,5.268015073444589,9.69
485,WEC,-7.920836613066457,22.96
486,WELL,10.838807693026075,11.51
487,WFC,9.962831579839461,34.38
488,WM,3.564084989718986,18.83
489,WMB,-0.5317685889795545,19.61
490,WMT,5.6834715525554484,20.85
491,WRB,7.379239888172368,21.26
492,WST,2.132347955793613,17.97
493,WTW,6.506379837604134,16.89
494,WY,-32.70784467031535,15.31
495,WYNN,42.48493201898315,24.98
496,XEL,-7.77136421230466,26.57
497,XOM,-19.11519971795385,43.66
498,XYL,25.01357957631722,22.86
499,YUM,3.306953080836631,20.51
500,ZBH,6.14400476048795,26.19
501,ZBRA,-26.112565445026174,9.94
502,ZTS,5.430711610486892,15.08
